system,sf,round,cold,query,status,rows,wall_ms,engine_ms,fe_ms,plan_ms,schedule_ms,rpc1_ms,cpu_ms,peak_mem_bytes,scan_bytes,scan_rows,query_id,start_ms,end_ms,peak_rss_kb,read_bytes,cpu_cores,gpu_peak_mib
native-olap,sf10,2,0,q22,OK,7,183,-,167,10,14,11,915,549908584,148850624,18000000,a357a24da3c44933-a384c7f6fa48679a,1789795816905,1789795817088,7504876,0,3.52,-
native-olap,sf10,3,0,q01,OK,4,2603,-,183,-1,-1,10,309,140512413,20964476,5205333,b333de4af5984ec5-b03081caf5084889,1789795824693,1789795827297,7070240,1302528,6.41,-
native-olap,sf10,3,0,q02,OK,100,262,-,137,-1,-1,5,260,143166636,21434630,5338708,849f0d616c294a31-a833b29b6caa3691,1789795827360,1789795827622,7070240,0,4.38,-
native-olap,sf10,3,0,q03,OK,10,224,-,189,-1,-1,6,102,160414848,22602208,5626212,6b8791d44fa247fe-b33c96dde59d4c59,1789795827667,1789795827891,7070240,0,4.70,-
native-olap,sf10,3,0,q04,OK,5,377,-,382,-1,-1,5,947,138078335,18872724,4690944,22558f0ee5874bea-95a5ba6872d11f30,1789795827928,1789795828306,7070240,0,5.03,-
native-olap,sf10,3,0,q05,OK,5,539,-,148,-1,-1,8,293,294647560,8047128,2000000,15d43a052b5543c0-8635fdb211eb3aa4,1789795828373,1789795828913,7161232,618496,5.37,-
native-olap,sf10,3,0,q06,OK,1,76,-,117,-1,-1,5,205,213090094,8006448,2000000,b867a349c90d4b27-800076b8f288857a,1789795828968,1789795829045,7161232,32768,5.03,-
native-olap,sf10,3,0,q07,OK,4,385,-,369,47,49,43,1698,400529032,1016362490,34829712,c5aaee6df5ea4f55-8e79acceeed273a5,1789795829129,1789795829515,7257876,32768,5.00,-
native-olap,sf10,3,0,q08,OK,2,831,-,806,91,56,49,4204,348325084,2190495395,77975112,6d7c666a2cf14211-ab1987a3eb6adc18,1789795829639,1789795830470,7420772,0,5.37,-
native-olap,sf10,3,0,q09,OK,175,907,-,128,-1,-1,5,275,235062152,8008404,2000000,3f84cde502684b00-800d68a0dd723c25,1789795830545,1789795831453,7616332,32768,6.39,-
native-olap,sf10,3,0,q10,OK,20,616,-,308,-1,-1,4,360,174763040,18995744,4667628,5fbec3b16c4b40c6-baccf7622f4f4a4c,1789795831498,1789795832115,7616332,53248,5.91,-
native-olap,sf10,3,0,q11,OK,171440,336,-,81,-1,-1,6,89,118406054,18681264,4669160,98662ea45b3641df-850581c98a958b0d,1789795832170,1789795832506,7587544,36864,5.02,-
native-olap,sf10,3,0,q12,OK,2,295,-,276,10,28,22,1402,369066476,445482380,25596269,eb5f3f85cd9943a5-9ad10448e2590d33,1789795832557,1789795832852,7418488,16384,4.28,-
native-olap,sf10,3,0,q13,OK,46,1124,-,722,-1,-1,39,507,213371776,16879248,4218750,70c22d6023b541a9-8380d6df7104e58c,1789795832891,1789795834016,7418488,0,6.18,-
native-olap,sf10,3,0,q14,OK,1,98,-,83,7,9,6,332,314522268,89931432,2749167,8a2b050f2791462d-a52b85dc6b6ad941,1789795834057,1789795834156,7202864,0,5.26,-
