system,sf,round,cold,query,status,rows,wall_ms,engine_ms,fe_ms,plan_ms,schedule_ms,rpc1_ms,cpu_ms,peak_mem_bytes,scan_bytes,scan_rows,query_id,start_ms,end_ms,peak_rss_kb,read_bytes,cpu_cores,gpu_peak_mib
sirius,sf10,2,0,q19,OK,1,2764,2651.6,2749,29,2719,2717,0,0,0,0,625bb7a76a8248c2-8e924d22d2829ab1,1789794613612,1789794616377,1769868,1007194112,0.47,13583
sirius,sf10,2,0,q20,OK,1804,2748,2568.7,2733,50,2681,2679,0,0,0,0,e307ab7af30145be-8c19705ce43a2e4d,1789794616460,1789794619208,1720972,1009414144,0.41,13583
sirius,sf10,2,0,q21,OK,100,6756,6539.7,6742,73,6668,6666,0,0,0,0,3863ea4d19a9451e-a98958b724032fad,1789794619315,1789794626072,1800968,1847812096,0.68,13583
sirius,sf10,2,0,q22,OK,7,395,285.8,379,30,348,347,0,0,0,0,c0d55af57c064865-8f630ab4d0b7038e,1789794626138,1789794626533,1800968,159211520,0.75,13583
sirius,sf10,3,0,q01,OK,4,1041,956.1,1028,16,1011,1008,0,0,0,0,e158abffa66c4986-81bdf0471c2983c9,1789794633512,1789794634554,1739568,642842624,1.41,13583
sirius,sf10,3,0,q02,OK,100,598,301.4,585,62,521,519,0,0,0,0,432cea62b1424eda-897594e5350a74e5,1789794634653,1789794635252,1739568,298848256,1.06,13583
sirius,sf10,3,0,q03,OK,10,2838,2732.4,2824,29,2794,2792,0,0,0,0,7713f391055b469d-9e2867f9ffd01568,1789794635325,1789794638163,1739568,1172901888,0.44,13583
sirius,sf10,3,0,q04,OK,5,1396,1321.3,1382,25,1355,1353,0,0,0,0,a79748fcc63f40b3-b6da8b0b7fce49ea,1789794638223,1789794639620,1736024,477433856,0.55,13583
sirius,sf10,3,0,q05,OK,5,3315,3134.9,3301,46,3254,3252,0,0,0,0,81fb82981fae4b50-bc165be98ebc28d3,1789794639701,1789794643017,1780880,1137803264,0.45,13583
sirius,sf10,3,0,q06,OK,1,1685,1636.4,1672,18,1653,1651,0,0,0,0,191a0a66e6a4349-bfa6f5054b3aaca4,1789794643067,1789794644753,1780880,650342400,0.49,13583
sirius,sf10,3,0,q07,OK,4,3627,3422.4,3612,52,3559,3557,0,0,0,0,5bd1a33486fd45d6-ba3ae4a34df62c7c,1789794644845,1789794648472,1753436,1161560064,0.45,13583
sirius,sf10,3,0,q08,OK,2,4616,4348.3,4602,60,4541,4538,0,0,0,0,8231aeca9150416b-8aa7c6ed7526fb46,1789794648565,1789794653182,1782412,1479999488,0.46,13583
sirius,sf10,3,0,q09,OK,175,4782,4578.4,4768,48,4718,4717,0,0,0,0,16e0c6802b744c16-89f7917349e7d411,1789794653274,1789794658057,1782412,1542664192,0.46,13583
sirius,sf10,3,0,q10,OK,20,2788,2648.2,2773,37,2736,2734,0,0,0,0,e4b5d62af9f14a1a-99d5917d5fa6a6f7,1789794658129,1789794660917,1772532,1061425152,0.48,13583
sirius,sf10,3,0,q11,OK,171440,687,369.7,624,45,547,545,0,0,0,0,2da0cc8294094dd6-aa1d8070113c54bd,1789794660994,1789794661682,1744708,246022144,0.77,13583
sirius,sf10,3,0,q12,OK,2,1573,1484.2,1559,26,1531,1530,0,0,0,0,bd87f28acc8e4e99-a9fe98430170a433,1789794661744,1789794663317,1752392,820736000,0.50,13583
sirius,sf10,3,0,q13,OK,46,1650,1587.5,1636,17,1618,1616,0,0,0,0,ea2c6533aa74f61-9671afadf99a17fd,1789794663368,1789794665018,1752392,587411456,0.43,13583
sirius,sf10,3,0,q14,OK,1,2680,2597.4,2665,23,2641,2640,0,0,0,0,450573b9795c4913-b0d5e1614f649897,1789794665077,1789794667757,1770380,953442304,0.49,13583
sirius,sf10,3,0,q15,OK,1,2536,2403.1,2522,41,2480,2477,0,0,0,0,9c4b30605404e83-92e4b476737b4cfa,1789794667834,1789794670371,1783936,959819776,0.64,13583
sirius,sf10,3,0,q16,OK,27840,328,196.9,292,25,260,258,0,0,0,0,e2988859ad344759-a0f6a8ef1a25dd9d,1789794670430,1789794670759,1783936,94171136,1.02,13583
sirius,sf10,3,0,q17,OK,1,3495,3383.8,3481,41,3439,3438,0,0,0,0,6d3f46215953436d-86d012b40a49160d,1789794670831,1789794674326,1803100,1240817664,0.39,13583
sirius,sf10,3,0,q18,OK,100,2239,2087.0,2226,44,2180,2179,0,0,0,0,cffbcfbbdca846ac-86a948a673831349,1789794674407,1789794676647,1803100,826241024,0.73,13583
sirius,sf10,3,0,q19,OK,1,2743,2627.3,2728,29,2698,2696,0,0,0,0,4444149933de4675-a95dea06285107c2,1789794676711,1789794679455,1797156,1030082560,0.48,13583
sirius,sf10,3,0,q20,OK,1804,2768,2596.8,2754,44,2708,2706,0,0,0,0,18c84b461f8249e4-be23409910434ef1,1789794679536,1789794682305,1746128,898404352,0.46,13583
sirius,sf10,3,0,q21,OK,100,6769,6556.3,6754,66,6687,6684,0,0,0,0,138ab2259f5c47e3-a75dc9faafe73ff5,1789794682409,1789794689178,1815656,1764659200,0.68,13583
